==9384== Lackey, an example Valgrind tool
==9384== Copyright (C) 2002-2017, and GNU GPL'd, by Nicholas Nethercote.
==9384== Using Valgrind-3.13.0 and LibVEX; rerun with -h for copyright info
==9384== Command: ls
 L 0422aa78,8
I  04002043,5
 L 04229f40,8
I  04002048,6
I  0400204e,7
 L 0422ab60,8
I  04002055,3
I  04002058,2
I  04002068,7
 L 0422ab20,8
I  0400206f,3
I  04002072,2
I  04002082,8
 L 0422ab18,8
I  0400208a,6
I  04002090,8
 L 0422aaa8,8
I  04002098,6
I  0400209e,3
I  040020a1,6
I  04002160,3
I  04002163,6
I  04002169,4
 L 04229f20,8
I  0400216d,7
 L 0422aa70,8
I  04002174,7
 L 0422ab70,8
I  0400217b,4
 L 04229f30,8
I  0400217f,3
I  04002182,3
I  04002185,3
I  04002188,4
I  0400218c,2
I  0400218e,4
 L 04229f80,8
I  04002192,4
I  04002196,4
I  0400219a,3
I  0400219d,2
I  0400219f,7
 L 0422aae8,8
I  040021a6,7
 L 0422aa40,8
I  040021ad,4
 L 04229f10,8
I  040021b1,4
 L 04229ef0,8
I  040021b5,3
I  040021b8,3
I  040021bb,3
I  040021be,3
I  040021c1,4
I  040021c5,4
I  040021c9,3
I  040021cc,7
 L 0422aa60,8
I  040021d3,3
I  040021d6,4
 L 04229eb0,8
I  040021da,2
I  040021dc,4
I  040021e0,3
 L 04000a00,8
I  040021e3,3
I  040021e6,4
 L 04000a08,4
I  040021ea,6
I  040021f0,4
 L 04000a10,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298c8,8
I  04002201,2
I  040021e0,3
 L 04000a18,8
I  040021e3,3
I  040021e6,4
 L 04000a20,4
I  040021ea,6
I  040021f0,4
 L 04000a28,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298d0,8
I  04002201,2
I  040021e0,3
 L 04000a30,8
I  040021e3,3
I  040021e6,4
 L 04000a38,4
I  040021ea,6
I  040021f0,4
 L 04000a40,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298d8,8
I  04002201,2
I  040021e0,3
 L 04000a48,8
I  040021e3,3
I  040021e6,4
 L 04000a50,4
I  040021ea,6
I  040021f0,4
 L 04000a58,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298e0,8
I  04002201,2
I  040021e0,3
 L 04000a60,8
I  040021e3,3
I  040021e6,4
 L 04000a68,4
I  040021ea,6
I  040021f0,4
 L 04000a70,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298e8,8
I  04002201,2
I  040021e0,3
 L 04000a78,8
I  040021e3,3
I  040021e6,4
 L 04000a80,4
I  040021ea,6
I  040021f0,4
 L 04000a88,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298f0,8
I  04002201,2
I  040021e0,3
 L 04000a90,8
I  040021e3,3
I  040021e6,4
 L 04000a98,4
I  040021ea,6
I  040021f0,4
 L 04000aa0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042298f8,8
I  04002201,2
I  040021e0,3
 L 04000aa8,8
I  040021e3,3
I  040021e6,4
 L 04000ab0,4
I  040021ea,6
I  040021f0,4
 L 04000ab8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229900,8
I  04002201,2
I  040021e0,3
 L 04000ac0,8
I  040021e3,3
I  040021e6,4
 L 04000ac8,4
I  040021ea,6
I  040021f0,4
 L 04000ad0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229980,8
I  04002201,2
I  040021e0,3
 L 04000ad8,8
I  040021e3,3
I  040021e6,4
 L 04000ae0,4
I  040021ea,6
I  040021f0,4
 L 04000ae8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042299b8,8
I  04002201,2
I  040021e0,3
 L 04000af0,8
I  040021e3,3
I  040021e6,4
 L 04000af8,4
I  040021ea,6
I  040021f0,4
 L 04000b00,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 042299f0,8
I  04002201,2
I  040021e0,3
 L 04000b08,8
I  040021e3,3
I  040021e6,4
 L 04000b10,4
I  040021ea,6
I  040021f0,4
 L 04000b18,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229a20,8
I  04002201,2
I  040021e0,3
 L 04000b20,8
I  040021e3,3
I  040021e6,4
 L 04000b28,4
I  040021ea,6
I  040021f0,4
 L 04000b30,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229a28,8
I  04002201,2
I  040021e0,3
 L 04000b38,8
I  040021e3,3
I  040021e6,4
 L 04000b40,4
I  040021ea,6
I  040021f0,4
 L 04000b48,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229a58,8
I  04002201,2
I  040021e0,3
 L 04000b50,8
I  040021e3,3
I  040021e6,4
 L 04000b58,4
I  040021ea,6
I  040021f0,4
 L 04000b60,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229a60,8
I  04002201,2
I  040021e0,3
 L 04000b68,8
I  040021e3,3
I  040021e6,4
 L 04000b70,4
I  040021ea,6
I  040021f0,4
 L 04000b78,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229a98,8
I  04002201,2
I  040021e0,3
 L 04000b80,8
I  040021e3,3
I  040021e6,4
 L 04000b88,4
I  040021ea,6
I  040021f0,4
 L 04000b90,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229ad0,8
I  04002201,2
I  040021e0,3
 L 04000b98,8
I  040021e3,3
I  040021e6,4
 L 04000ba0,4
I  040021ea,6
I  040021f0,4
 L 04000ba8,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
 S 04229b08,8
I  04002201,2
I  040021e0,3
 L 04000bb0,8
I  040021e3,3
I  040021e6,4
 L 04000bb8,4
I  040021ea,6
I  040021f0,4
 L 04000bc0,8
I  040021f4,4
I  040021f8,3
I  040021fb,3
I  040021fe,3
